"author","year","n1","n2","n","smd","se_smd","z","p","crit","sig_fixed","sig_005","sig_p1.1","sig_p1.2","sig_p1.5","sig_p2"
"Shamseddini","2021",12,10,22,0.59,0.437315328990074,1.34914090791771,0.177291710794373,0.559668411394404,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Stergioulas","2007",25,25,50,1.08,0.30276063152266,3.5671744855611,0.00036085121356216,2.02632878804317,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yeldan","2009",34,26,60,0.17,0.260986851202803,0.651373811425846,0.514805211753754,0.162166781368608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bleakley","2010",50,51,101,0.0114820658467008,0.199018832776725,0.0576933634194422,0.953992880116667,0.0102053826286671,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brison","2016",254,250,504,0.0693719463952186,0.0891166771529341,0.778439553756798,0.436309928353218,0.133289237059664,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Holme","1999",29,38,67,0.941297564588586,0.259635889559517,3.62545242179552,0.000288456003132833,1.93854075044506,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Hupperets","2009",256,266,522,0.32330941384246,0.0881236179324485,3.66881684420054,0.000243675567359674,1.32951658785905,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Janssen","2014",107,57,164,0.378238038418596,0.165305247391431,2.28811876445129,0.0221306057736223,0.747234031677765,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lazarou","2017",10,10,20,1.01247594682227,0.475002830067718,2.13151560945001,0.0330466878759987,1.13823052993094,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Mohammadi","2007",20,20,40,1.40237979365476,0.352963685909244,3.9731560204053,7.09265573615884e-05,2.58990995463148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Van Rijn","2007",49,53,102,0.0996262730007081,0.198304668848462,0.502389951680054,0.615393245889316,0.104972247602283,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Wester","1996",24,24,48,0.699363650853052,0.297368835163339,2.35183909056544,0.018680854094606,1.02817087348401,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cruz-diaz","2015",30,31,61,3.59,0.413801355464054,8.67566032009253,4.11157715851495e-18,9.73825184251388,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hoch and McKeon","2011",20,20,40,0.14,0.316614908050774,0.442177536307131,0.658360740150062,0.113314155632735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marrón Gómez","2015",18,15,33,1.04,0.372303775175731,2.79341781992168,0.00521542790522529,1.50325261670973,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Plante","2012",10,10,20,0.16,0.447928565733421,0.357199813184547,0.720942225740892,0.109220800046164,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Reid","2007",23,23,46,0.06,0.294950253727494,0.203424134211576,0.838803537780881,0.0459115242433804,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vicenzino","2006",16,16,32,0.25,0.354931771612517,0.704360725060499,0.481208158184233,0.211053398674107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Wells","2012",9,8,17,0.61,0.497046505629171,1.22724934808233,0.219728886906349,0.534855882984772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Capan","2016",23,22,45,0.31,0.300000973501568,1.03332998017215,0.301449501803191,0.315014207311186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Devrimsel","2014",30,30,60,0.91,0.271233294416449,3.35504533821278,0.000793519781281331,1.74363246196431,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Eraslan","2018a",15,15,30,0.35,0.367933417889705,0.951259067489541,0.341472880246481,0.315914337269754,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Guler","2018",20,20,40,0.5,0.321130814466628,1.55699788832305,0.119470986771701,0.57596941077603,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Haake","2002",105,101,206,0.11,0.139478201002373,0.78865370509137,0.430314432756419,0.15826927500506,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ozturan","2010",20,20,40,0.17,0.316798437496147,0.536618808298471,0.591530949551708,0.142330829625352,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pettrone","2005",56,58,114,0.47,0.18991414327693,2.47480251807603,0.013330986625076,0.911630747569204,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rompe","1996",50,50,100,1.14,0.215633949089655,5.28673710615955,1.24517388274871e-07,3.45238499856313,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Rompe","2004",31,33,64,0.5,0.253996495682833,1.96853109589493,0.0490069618535505,0.725144913158652,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Speed","2002",38,33,71,0.11,0.238126082242832,0.461940157768295,0.644124235048763,0.103189465923894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Staples","2008",28,27,55,1.43,0.302227270032541,4.7315386194172,2.22824413485018e-06,3.24762031619333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yang","2017",15,13,28,1.09,0.405962824675259,2.68497491333578,0.00725352504068292,1.47838096393176,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
